Model,Task,Accuracy,F1 Score,Precision,Recall,AUROC
distilbert-base-uncased,3class,0.6848673946957878,0.6724658373991201,0.6744769461746727,0.67190244863217,0.8437003225865589
distilbert-base-uncased,binary,0.7618304732189287,0.7576352809087707,0.75620957196598,0.7640587194557249,0.853738415207052
